User:;Maciej
IndexName:;TimeSeriesOur
StartDate:;2015-01-14 00:26:21
CalculationTime:;02:07:40
TestCasesNumber:;100
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
Elman;1;0,8;100;3~1;no PCA;Day;Day;Day;0,116900304316771
MLP;0;1;100;3~1;no PCA;Day;Day;Day;0,29346956037051
Jordan;0;1;100;3~1;no PCA;Day;Day;Day;0,278756338748523
Elman;0;1;100;3~1;no PCA;Day;Day;Day;0,262331054720233
MLP;0,2;1;100;3~1;no PCA;Day;Day;Day;0,137119643872085
Jordan;0,2;1;100;3~1;no PCA;Day;Day;Day;0,133471915408678
Elman;0,2;1;100;3~1;no PCA;Day;Day;Day;0,131310428841814
MLP;0,4;1;100;3~1;no PCA;Day;Day;Day;0,131420181965269
Jordan;0,4;1;100;3~1;no PCA;Day;Day;Day;0,130006684172343
Elman;0,4;1;100;3~1;no PCA;Day;Day;Day;0,128952613577857
MLP;0,6;1;100;3~1;no PCA;Day;Day;Day;0,130978934936246
Jordan;0,6;1;100;3~1;no PCA;Day;Day;Day;0,130134453538767
Elman;0,6;1;100;3~1;no PCA;Day;Day;Day;0,129478576936327
MLP;0,8;1;100;3~1;no PCA;Day;Day;Day;0,131773773250053
Jordan;0,8;1;100;3~1;no PCA;Day;Day;Day;0,131218851441432
Elman;0,8;1;100;3~1;no PCA;Day;Day;Day;0,130733336932749
MLP;1;1;100;3~1;no PCA;Day;Day;Day;0,133022789826186
Jordan;1;1;100;3~1;no PCA;Day;Day;Day;0,132693120051975
Elman;1;1;100;3~1;no PCA;Day;Day;Day;0,132298394862875
MLP;0;0;500;3~1;no PCA;Day;Day;Day;0,0812810020104218
Jordan;0;0;500;3~1;no PCA;Day;Day;Day;0,0812228697878409
Elman;0;0;500;3~1;no PCA;Day;Day;Day;0,082225198182727
MLP;0,2;0;500;3~1;no PCA;Day;Day;Day;0,0098940867428214
Jordan;0,2;0;500;3~1;no PCA;Day;Day;Day;0,0107361178615758
Elman;0,2;0;500;3~1;no PCA;Day;Day;Day;0,00909102998867307
MLP;0,4;0;500;3~1;no PCA;Day;Day;Day;0,00218721953338602
Jordan;0,4;0;500;3~1;no PCA;Day;Day;Day;0,00213929134706688
Elman;0,4;0;500;3~1;no PCA;Day;Day;Day;0,00214776772674073
MLP;0,6;0;500;3~1;no PCA;Day;Day;Day;0,00225069215562723
Jordan;0,6;0;500;3~1;no PCA;Day;Day;Day;0,00212588965994421
Elman;0,6;0;500;3~1;no PCA;Day;Day;Day;0,00220194469525613
