User:;komputer
IndexName:;WIG20withMacro
StartDate:;2015-01-14 12:53:25
CalculationTime:;02:29:39
TestCasesNumber:;10
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
Jordan;0,6;0,8;1000;10~1;no PCA;Week;Day;Day;6004,24507668407
Elman;0,6;0,8;1000;10~1;no PCA;Week;Day;Day;7388,00522256582
MLP;0,8;0,8;1000;10~1;no PCA;Week;Day;Day;6037,4978807558
Jordan;0,8;0,8;1000;10~1;no PCA;Week;Day;Day;5471,04952295963
Elman;0,8;0,8;1000;10~1;no PCA;Week;Day;Day;5792,5773523467
MLP;1;0,8;1000;10~1;no PCA;Week;Day;Day;5303,65343116252
Jordan;1;0,8;1000;10~1;no PCA;Week;Day;Day;5657,02189322852
Elman;1;0,8;1000;10~1;no PCA;Week;Day;Day;6985,21549726895
MLP;0;1;1000;10~1;no PCA;Week;Day;Day;3310974,70088181
Jordan;0;1;1000;10~1;no PCA;Week;Day;Day;3292930,14522042
Elman;0;1;1000;10~1;no PCA;Week;Day;Day;3159306,15732237
MLP;0,2;1;1000;10~1;no PCA;Week;Day;Day;13829,9425791111
Jordan;0,2;1;1000;10~1;no PCA;Week;Day;Day;11641,5870370936
Elman;0,2;1;1000;10~1;no PCA;Week;Day;Day;13126,9986788861
MLP;0,4;1;1000;10~1;no PCA;Week;Day;Day;10267,2701423883
Jordan;0,4;1;1000;10~1;no PCA;Week;Day;Day;8838,37525124037
Elman;0,4;1;1000;10~1;no PCA;Week;Day;Day;11299,3209970529
MLP;0,6;1;1000;10~1;no PCA;Week;Day;Day;9594,55978881237
Jordan;0,6;1;1000;10~1;no PCA;Week;Day;Day;9802,94515629108
Elman;0,6;1;1000;10~1;no PCA;Week;Day;Day;9282,33375398471
MLP;0,8;1;1000;10~1;no PCA;Week;Day;Day;6746,77395552812
Jordan;0,8;1;1000;10~1;no PCA;Week;Day;Day;7348,15789844468
Elman;0,8;1;1000;10~1;no PCA;Week;Day;Day;6938,78270482407
MLP;1;1;1000;10~1;no PCA;Week;Day;Day;6653,56528498221
Jordan;1;1;1000;10~1;no PCA;Week;Day;Day;6622,46100105888
Elman;1;1;1000;10~1;no PCA;Week;Day;Day;5507,68983523521
